Te_K,lambda_nm,R,T,A_ito,A_rt_1_minus_R_minus_T
300,1230.0,0.028608,0.497931,0.456940,0.473461
300,1231.0,0.028667,0.490834,0.466956,0.480498
300,1232.0,0.029080,0.486658,0.478134,0.484262
300,1233.0,0.030356,0.483167,0.489702,0.486477
300,1234.0,0.032699,0.477743,0.500806,0.489558
300,1235.0,0.035889,0.468328,0.510849,0.495783
300,1236.0,0.039310,0.454187,0.519695,0.506502
300,1237.0,0.042131,0.436249,0.527709,0.521619
300,1238.0,0.043584,0.416867,0.535594,0.539548
300,1239.0,0.043248,0.399070,0.544091,0.557682
300,1240.0,0.041247,0.385549,0.553703,0.573204
300,1241.0,0.038278,0.377676,0.564511,0.584046
300,1242.0,0.035462,0.374869,0.576204,0.589670
300,1243.0,0.034046,0.374549,0.588326,0.591406
300,1244.0,0.035040,0.372676,0.600618,0.592284
300,1245.0,0.038906,0.364761,0.613362,0.596333
300,1246.0,0.045384,0.347037,0.627540,0.607579
300,1247.0,0.053509,0.317498,0.644738,0.628993
300,1248.0,0.061824,0.276501,0.666747,0.661675
300,1249.0,0.068723,0.226782,0.695024,0.704495
300,1250.0,0.072829,0.172880,0.730084,0.754291
300,1251.0,0.073317,0.120190,0.771078,0.806493
300,1252.0,0.070082,0.073803,0.815706,0.856115
300,1253.0,0.063732,0.037507,0.860525,0.898761
300,1254.0,0.055408,0.013176,0.901555,0.931415
300,1255.0,0.046498,0.000586,0.935148,0.952916
300,1256.0,0.038312,-0.002258,0.958757,0.963946
300,1257.0,0.031818,0.001524,0.971523,0.966658
300,1258.0,0.027482,0.008487,0.974418,0.964031
300,1259.0,0.025249,0.015600,0.969992,0.959151
300,1260.0,0.024649,0.020749,0.961727,0.954602
300,1261.0,0.024977,0.022952,0.953227,0.952072
300,1262.0,0.025501,0.022264,0.947415,0.952236
300,1263.0,0.025635,0.019471,0.945968,0.954893
300,1264.0,0.025048,0.015687,0.949110,0.959265
300,1265.0,0.023684,0.011965,0.955790,0.964351
300,1266.0,0.021711,0.009040,0.964150,0.969249
300,1267.0,0.019437,0.007209,0.972153,0.973354
300,1268.0,0.017194,0.006374,0.978177,0.976433
300,1269.0,0.015253,0.006178,0.981400,0.978569
300,1270.0,0.013773,0.006181,0.981920,0.980046
300,1271.0,0.012788,0.006012,0.980602,0.981200
300,1272.0,0.012224,0.005471,0.978702,0.982305
