# T_eff(I) for the selected wavelengths, TTM tau_ep = 450 fs (columns), plus g=0 / tau 1000 fs band
I_peak_Wcm2,F_mJcm2,Teff_1244nm_tau450,Tepk_1244nm_tau450,Teff_1244nm_g0,Teff_1244nm_tau1000,Teff_1258nm_tau450,Tepk_1258nm_tau450,Teff_1258nm_g0,Teff_1258nm_tau1000,Teff_1274nm_tau450,Tepk_1274nm_tau450,Teff_1274nm_g0,Teff_1274nm_tau1000
1.0000e+06,1.8800e-04,0.37277,322.4,0.37278,0.37278,0.00852,335.4,0.00853,0.00853,0.00336,335.5,0.00336,0.00336
1.1781e+06,2.2148e-04,0.37278,326.2,0.37280,0.37279,0.00853,341.3,0.00854,0.00853,0.00336,341.4,0.00336,0.00336
1.3879e+06,2.6093e-04,0.37280,330.6,0.37282,0.37281,0.00854,348.0,0.00854,0.00854,0.00336,348.2,0.00336,0.00336
1.6352e+06,3.0740e-04,0.37282,335.7,0.37285,0.37284,0.00855,355.8,0.00855,0.00855,0.00336,356.0,0.00336,0.00336
1.9264e+06,3.6216e-04,0.37285,341.6,0.37288,0.37286,0.00855,364.7,0.00857,0.00856,0.00336,364.9,0.00336,0.00336
2.2695e+06,4.2666e-04,0.37288,348.4,0.37291,0.37289,0.00857,374.9,0.00858,0.00857,0.00336,375.1,0.00336,0.00336
2.6737e+06,5.0265e-04,0.37291,356.2,0.37295,0.37293,0.00858,386.5,0.00859,0.00859,0.00336,386.8,0.00335,0.00335
3.1500e+06,5.9218e-04,0.37295,365.2,0.37299,0.37297,0.00859,399.7,0.00861,0.00860,0.00335,400.0,0.00335,0.00335
3.7110e+06,6.9766e-04,0.37299,375.4,0.37304,0.37302,0.00861,414.6,0.00863,0.00862,0.00335,415.0,0.00335,0.00335
4.3720e+06,8.2192e-04,0.37304,387.1,0.37310,0.37307,0.00863,431.4,0.00865,0.00864,0.00335,431.8,0.00335,0.00335
5.1507e+06,9.6831e-04,0.37310,400.3,0.37317,0.37314,0.00865,450.3,0.00867,0.00866,0.00335,450.8,0.00335,0.00335
6.0681e+06,1.1408e-03,0.37317,415.3,0.37325,0.37321,0.00867,471.5,0.00870,0.00869,0.00335,472.0,0.00335,0.00335
7.1489e+06,1.3440e-03,0.37325,432.2,0.37333,0.37329,0.00870,495.1,0.00873,0.00872,0.00335,495.7,0.00335,0.00335
8.4222e+06,1.5833e-03,0.37333,451.1,0.37343,0.37338,0.00873,521.4,0.00877,0.00875,0.00335,522.1,0.00334,0.00335
