tag,theta,alpha,phase_deg,R_cross,pixels_outside
rectangle,0.0,0,-105.91120821377883,0.22882746160030365,-1.0
rectangle,0.0,15,-139.04378651897204,0.2311781644821167,-1.0
rectangle,0.0,30,-170.40977737647646,0.22927075624465942,-1.0
rectangle,0.0,45,161.90421110495126,0.22421696782112122,-1.0
rectangle,0.0,60,132.90903354987165,0.22934260964393616,-1.0
rectangle,0.0,75,105.16494857525242,0.2308463752269745,-1.0
rectangle,0.0,90,74.06614788788973,0.2287653088569641,-1.0
rectangle,0.0,105,40.91081139238205,0.23047500848770142,-1.0
rectangle,0.0,120,9.603222921149479,0.2292241007089615,-1.0
rectangle,0.0,135,-18.100556253403855,0.2244023084640503,-1.0
rectangle,0.0,150,-47.090578723207415,0.22929787635803223,-1.0
rectangle,0.0,165,-74.87444613464739,0.23046621680259705,-1.0
rectangle,0.0,180,-105.91120821377883,0.22882746160030365,-1.0
rectangle,0.0,-1,-1.991485920872043,1.7825292277261977,0.22421696782112122
rectangle,30.0,0,-90.69425708266411,0.27561846375465393,-1.0
rectangle,30.0,15,-120.77935524435935,0.2734890878200531,-1.0
rectangle,30.0,30,-153.31665524262925,0.26183605194091797,-1.0
rectangle,30.0,45,175.47906181618987,0.245522141456604,-1.0
rectangle,30.0,60,140.58933538474085,0.24293456971645355,-1.0
rectangle,30.0,75,108.0160607801125,0.23283234238624573,-1.0
rectangle,30.0,90,72.46542475400554,0.22360722720623016,-1.0
rectangle,30.0,105,37.01931452786187,0.23285380005836487,-1.0
rectangle,30.0,120,6.768139462724124,0.24312655627727509,-1.0
rectangle,30.0,135,-18.105783055666205,0.24604997038841248,-1.0
rectangle,30.0,150,-42.30098369981685,0.26174795627593994,-1.0
rectangle,30.0,165,-64.87416126515662,0.2727386951446533,-1.0
rectangle,30.0,180,-90.69425708266411,0.27561846375465393,-1.0
rectangle,30.0,-1,-2.04974542734234,7.511313936201797,0.22360722720623016
rectangle,60.0,0,-34.98900323103515,0.2654668688774109,-1.0
rectangle,60.0,15,-44.59007378882243,0.274244487285614,-1.0
rectangle,60.0,30,-60.068542617973186,0.29542475938796997,-1.0
rectangle,60.0,45,-77.08868418053879,0.3086581230163574,-1.0
rectangle,60.0,60,-123.7574133451333,0.25852131843566895,-1.0
rectangle,60.0,75,136.12274683738937,0.1591755449771881,-1.0
rectangle,60.0,90,48.94357147899144,0.09773970395326614,-1.0
rectangle,60.0,105,20.443650940629436,0.15923328697681427,-1.0
rectangle,60.0,120,2.653601276753297,0.25844454765319824,-1.0
