tag,theta,phi,R_cross,R_co,T_cross,T_tot,A,R_cross_12,R_cross_21,abs_rx,abs_ry,dphi_r_deg,rxx_re,rxx_im,ryy_re,ryy_im,rxy_abs,ryx_abs
rectangle,0.0,0.0,0.22882746160030365,0.4465973973274231,0.04781201109290123,0.10261896997690201,0.22195613384246826,0.2288414090871811,0.2288135141134262,0.8925697207450867,0.744425356388092,-289.13189697265625,-0.7969084978103638,-0.40201690793037415,-0.5346049666404724,0.5180411338806152,2.3376604076474905e-05,2.652300099725835e-05
rectangle,0.0,15.0,0.22882746160030365,0.4465973973274231,0.04781201109290123,0.10261896997690201,0.22195613384246826,0.2288414090871811,0.2288135141134262,0.8925697207450867,0.744425356388092,-289.13189697265625,-0.7969084978103638,-0.40201690793037415,-0.5346049666404724,0.5180411338806152,2.3376604076474905e-05,2.652300099725835e-05
rectangle,0.0,30.0,0.22882746160030365,0.4465973973274231,0.04781201109290123,0.10261896997690201,0.22195613384246826,0.2288414090871811,0.2288135141134262,0.8925697207450867,0.744425356388092,-289.13189697265625,-0.7969084978103638,-0.40201690793037415,-0.5346049666404724,0.5180411338806152,2.3376604076474905e-05,2.652300099725835e-05
rectangle,0.0,45.0,0.22882746160030365,0.4465973973274231,0.04781201109290123,0.10261896997690201,0.22195613384246826,0.2288414090871811,0.2288135141134262,0.8925697207450867,0.744425356388092,-289.13189697265625,-0.7969084978103638,-0.40201690793037415,-0.5346049666404724,0.5180411338806152,2.3376604076474905e-05,2.652300099725835e-05
rectangle,0.0,60.0,0.22882746160030365,0.4465973973274231,0.04781201109290123,0.10261896997690201,0.22195613384246826,0.2288414090871811,0.2288135141134262,0.8925697207450867,0.744425356388092,-289.13189697265625,-0.7969084978103638,-0.40201690793037415,-0.5346049666404724,0.5180411338806152,2.3376604076474905e-05,2.652300099725835e-05
rectangle,0.0,75.0,0.22882746160030365,0.4465973973274231,0.04781201109290123,0.10261896997690201,0.22195613384246826,0.2288414090871811,0.2288135141134262,0.8925697207450867,0.744425356388092,-289.13189697265625,-0.7969084978103638,-0.40201690793037415,-0.5346049666404724,0.5180411338806152,2.3376604076474905e-05,2.652300099725835e-05
rectangle,0.0,90.0,0.22882746160030365,0.4465973973274231,0.04781201109290123,0.10261896997690201,0.22195613384246826,0.2288414090871811,0.2288135141134262,0.8925697207450867,0.744425356388092,-289.13189697265625,-0.7969084978103638,-0.40201690793037415,-0.5346049666404724,0.5180411338806152,2.3376604076474905e-05,2.652300099725835e-05
rectangle,5.0,0.0,0.23062491416931152,0.44341862201690674,0.04750461503863335,0.10285186767578125,0.22310450673103333,0.23057036101818085,0.2306794822216034,0.8917630910873413,0.7435359954833984,-288.7190246582031,-0.7927114963531494,-0.40847259759902954,-0.53467857837677,0.5166861414909363,2.6606889150571078e-05,0.00024982713512144983
rectangle,5.0,15.0,0.23074358701705933,0.44316208362579346,0.04737963154911995,0.10251171886920929,0.22358258068561554,0.23112040758132935,0.2303667515516281,0.8491826057434082,0.7150981426239014,-296.4085998535156,-0.7755711078643799,-0.3458331525325775,-0.5513191223144531,0.4554257094860077,0.2400682121515274,0.24021276831626892
rectangle,5.0,30.0,0.23051296174526215,0.44424968957901,0.047422803938388824,0.10244932770729065,0.22278791666030884,0.23116622865200043,0.22985969483852386,0.7494533061981201,0.6649576425552368,-320.8688049316406,-0.7285963296890259,-0.1755780428647995,-0.5997689962387085,0.2871338129043579,0.4157446026802063,0.41573187708854675
rectangle,5.0,45.0,0.22940975427627563,0.4446367621421814,0.047220684587955475,0.10183219611644745,0.22412113845348358,0.23012307286262512,0.22869643568992615,0.6661240458488464,0.6674980521202087,0.06320656836032867,-0.6637859344482422,0.055762723088264465,-0.6650930643081665,0.056611403822898865,0.4789793789386749,0.4789542555809021
rectangle,5.0,60.0,0.22914138436317444,0.4458475112915039,0.047203682363033295,0.1015588566660881,0.22345221042633057,0.22963619232177734,0.22864656150341034,0.6646064519882202,0.7513291239738464,321.0981750488281,-0.599143922328949,0.2876253128051758,-0.7313040494918823,-0.1723073571920395,0.4146190583705902,0.41457411646842957
rectangle,5.0,75.0,0.2289676070213318,0.4472188651561737,0.04720744490623474,0.10141578316688538,0.22239765524864197,0.22930096089839935,0.22863426804542542,0.7169249057769775,0.850720226764679,296.86248779296875,-0.5522491931915283,0.4571675658226013,-0.7800512909889221,-0.3394773304462433,0.23953324556350708,0.23935467004776
rectangle,5.0,90.0,0.22984464466571808,0.44838762283325195,0.04737108200788498,0.10165310651063919,0.2201145887374878,0.22978390753269196,0.2299053817987442,0.7478162050247192,0.8928803205490112,289.1050720214844,-0.5359106063842773,0.5215638875961304,-0.7978684306144714,-0.4008007049560547,0.0005204345798119903,4.414317663758993e-05
rectangle,10.0,0.0,0.2359386384487152,0.43244773149490356,0.046671658754348755,0.10410097986459732,0.22751256823539734,0.23616604506969452,0.2357112169265747,0.8887273073196411,0.7395514845848083,-287.396484375,-0.7790010571479797,-0.4277775287628174,-0.53350430727005,0.5121616125106812,0.00014892137551214546,0.0005592998932115734
rectangle,10.0,15.0,0.23531553149223328,0.4333149194717407,0.04653223603963852,0.10353388637304306,0.22783565521240234,0.23680207133293152,0.23382897675037384,0.8453316688537598,0.7109013795852661,-295.2817687988281,-0.7633526921272278,-0.3631504476070404,-0.5503097176551819,0.4500443935394287,0.24215085804462433,0.24219311773777008
rectangle,10.0,30.0,0.23394334316253662,0.43647921085357666,0.04626506567001343,0.1022317036986351,0.22734570503234863,0.23684506118297577,0.23104162514209747,0.7436951398849487,0.661501944065094,-320.1387939453125,-0.7195845246315002,-0.18783116340637207,-0.5983879566192627,0.2819869816303253,0.41855403780937195,0.41831856966018677
rectangle,10.0,45.0,0.23268459737300873,0.4413541555404663,0.04604237154126167,0.10076001286506653,0.22520115971565247,0.23603661358356476,0.2293325811624527,0.6610894799232483,0.667603611946106,0.25283995270729065,-0.659114420413971,0.051063284277915955,-0.6653750538825989,0.054503247141838074,0.4823686480522156,0.4823528230190277
rectangle,10.0,60.0,0.23082321882247925,0.44529038667678833,0.04559791088104248,0.09889434278011322,0.2249918431043625,0.2337581068277359,0.2278883457183838,0.6627168655395508,0.752574622631073,321.0370788574219,-0.5970649123191833,0.2875884175300598,-0.732558012008667,-0.17241603136062622,0.41625338792800903,0.41641145944595337
rectangle,10.0,75.0,0.22955185174942017,0.4496498107910156,0.045627936720848083,0.09826602041721344,0.2225322723388672,0.23116259276866913,0.22794109582901,0.7195106148719788,0.8519093990325928,296.92657470703125,-0.553046703338623,0.4602552652359009,-0.7824001908302307,-0.3370453119277954,0.23957915604114532,0.23991666734218597
rectangle,10.0,90.0,0.22912698984146118,0.4498060941696167,0.04530532658100128,0.09740368276834488,0.2236631214618683,0.22897446155548096,0.2292795181274414,0.7478902339935303,0.8936030864715576,289.2809753417969,-0.5349528193473816,0.5226521492004395,-0.8005122542381287,-0.39712291955947876,0.0003197540354449302,1.616783811186906e-05
rectangle,15.0,0.0,0.24375887215137482,0.4122847318649292,0.04530984163284302,0.10735777020454407,0.23659861087799072,0.24355483055114746,0.24396291375160217,0.881827175617218,0.7310730218887329,-285.15374755859375,-0.7526176571846008,-0.45954960584640503,-0.5308462977409363,0.5026628375053406,9.334988862974569e-05,0.00057203572941944
rectangle,15.0,15.0,0.24263179302215576,0.4151184558868408,0.04510737210512161,0.1060657948255539,0.2361840009689331,0.24635469913482666,0.23890888690948486,0.8370684385299683,0.7030677199363708,-293.2955627441406,-0.7399580478668213,-0.3913382887840271,-0.5476841926574707,0.4408471882343292,0.2454570233821869,0.24548615515232086
