P,h,pad,seed,J_hard,J_soft,A_hard_min,A_hard,fill,s_flip,wall_s,tag
700.0,120.0,0.04,333,0.15664477144180966,0.15664267890467223,0.1484099176623238,"[0.1484099176623238, 0.17691075968950332, 0.14862455322186596]",0.5844584889399598,0.22825698977075962,93.80307698249817,P700_h120_pad0.040_s333
700.0,120.0,0.04,1001,0.15675189413185867,0.15675110823744046,0.14852240698900343,"[0.14852240698900343, 0.17710770427285505, 0.14866888993056326]",0.5817293881068658,0.1987615979999813,92.42439985275269,P700_h120_pad0.040_s1001
700.0,120.0,0.04,7777,0.15618132588869277,0.1561815354239966,0.14781221230938024,"[0.14781221230938024, 0.17617241807180106, 0.14847300903200145]",0.5883366848606723,0.1711632992203644,95.10601139068604,P700_h120_pad0.040_s7777
700.0,120.0,0.08,333,0.155326314189019,0.15532790815606987,0.14649224556090235,"[0.14649224556090235, 0.17464392476858248, 0.1485334007721354]",0.647119341563786,0.21839128548801237,93.31714963912964,P700_h120_pad0.080_s333
700.0,120.0,0.08,1001,0.1555114425804494,0.155505346132646,0.14670505433860637,"[0.14670505433860637, 0.17495597218481762, 0.14860608499318217]",0.6459190672153635,0.17848133796299784,94.75889134407043,P700_h120_pad0.080_s1001
700.0,120.0,0.08,7777,0.15516011247634937,0.15515940842868892,0.14627594969229885,"[0.14627594969229885, 0.17437536051242863, 0.14848690780701868]",0.6544924554183813,0.17281894344975723,93.29438304901123,P700_h120_pad0.080_s7777
700.0,120.0,0.12,333,0.15367363043467844,0.15367423437610056,0.1445157152069695,"[0.1445157152069695, 0.17238004353934, 0.1476271067695022]",0.7036651395251978,0.21209366561726667,93.1559624671936,P700_h120_pad0.120_s333
700.0,120.0,0.12,1001,0.15380179009855882,0.15380081881422875,0.14466212936317457,"[0.14466212936317457, 0.17259225978896164, 0.14767930978824828]",0.7050187421907539,0.17442438616615585,93.281667470932,P700_h120_pad0.120_s1001
700.0,120.0,0.12,7777,0.15376313814850573,0.15376437892958242,0.14461546481651277,"[0.14461546481651277, 0.1725151447925325, 0.14767503589991748]",0.7076218242399,0.1894821169159754,91.81012988090515,P700_h120_pad0.120_s7777
700.0,140.0,0.04,333,0.16685645137096666,0.16685881543350886,0.15793689738347627,"[0.15849066699832148, 0.18876462232643976, 0.15793689738347627]",0.565282964665326,0.22259599560254878,88.95655536651611,P700_h140_pad0.040_s333
700.0,140.0,0.04,1001,0.16692074818756347,0.16691943634033485,0.15792367836229648,"[0.15856857853454676, 0.18893323307525833, 0.15792367836229648]",0.5659293306521115,0.18715068984820735,93.1431987285614,P700_h140_pad0.040_s1001
700.0,140.0,0.04,7777,0.1662504402103926,0.16624657875729987,0.15765659224765483,"[0.15765659224765483, 0.18781708078301207, 0.15776939048949312]",0.5698793450158001,0.16876436670156103,142.66055631637573,P700_h140_pad0.040_s7777
700.0,140.0,0.08,333,0.16566573409650895,0.1656691462862353,0.15645992516004126,"[0.15645992516004126, 0.18632479914299738, 0.15838078684497403]",0.6357167352537723,0.2293383722990246,142.45882105827332,P700_h140_pad0.080_s333
700.0,140.0,0.08,1001,0.16589387187837887,0.16588887946072983,0.15675780861508892,"[0.15675780861508892, 0.18673928337443713, 0.1584176555271617]",0.6349451303155007,0.18299279332492216,137.02587699890137,P700_h140_pad0.080_s1001
700.0,140.0,0.08,7777,0.16540549173153352,0.1654070677376296,0.15609490511174717,"[0.15609490511174717, 0.1859180948807726, 0.15832329264209977]",0.6392318244170097,0.1779111028435872,138.12537002563477,P700_h140_pad0.080_s7777
700.0,140.0,0.12,333,0.1644462597056933,0.1644469204320439,0.15480593276599963,"[0.15480593276599963, 0.18425714303243224, 0.15816802812217778]",0.6998125780924614,0.21614633517272486,139.41047477722168,P700_h140_pad0.120_s333
700.0,140.0,0.12,1001,0.16459606122717307,0.16459430228654662,0.15498421359466652,"[0.15498421359466652, 0.18453146793691033, 0.15820549641443937]",0.7013744273219492,0.1723113791988944,136.97421860694885,P700_h140_pad0.120_s1001
700.0,140.0,0.12,7777,0.16450573021259754,0.16450294368525953,0.15487769437040189,"[0.15487769437040189, 0.18437320358790343, 0.15817708823798116]",0.702832153269471,0.19925788241297684,144.95644807815552,P700_h140_pad0.120_s7777
700.0,160.0,0.04,333,0.17505354124905548,0.17505475719102823,0.1651184891730778,"[0.16671459866935, 0.19860491003231406, 0.1651184891730778]",0.5536483769031887,0.23061784285027304,141.5983235836029,P700_h160_pad0.040_s333
700.0,160.0,0.04,1001,0.17513546397229882,0.17513110228226794,0.16515888548971147,"[0.16678883792110255, 0.19877007403465963, 0.16515888548971147]",0.5531456478023556,0.19337239969795111,144.15263772010803,P700_h160_pad0.040_s1001
700.0,160.0,0.04,7777,0.1744850661016786,0.17448406860224994,0.16520161252286392,"[0.16576429725426678, 0.19757191577257072, 0.16520161252286392]",0.5550847457627118,0.16483445393888552,144.0866973400116,P700_h160_pad0.040_s7777
700.0,160.0,0.08,333,0.17426201014364887,0.17426199827768496,0.1648396055457979,"[0.1648396055457979, 0.19636535298245694, 0.16628586743923868]",0.6262002743484225,0.22688905182949579,144.06440353393555,P700_h160_pad0.080_s333
700.0,160.0,0.08,1001,0.1744038759254151,0.17439954076681466,0.16501705650023746,"[0.16501705650023746, 0.19665822868259875, 0.1662976540747504]",0.6254286694101509,0.1880603347688324,144.85522174835205,P700_h160_pad0.080_s1001
700.0,160.0,0.08,7777,0.17391063729626297,0.17390798916130903,0.1642595795602314,"[0.1642595795602314, 0.19575259240497644, 0.16633302016526175]",0.6285150891632373,0.17244342381052352,140.37810897827148,P700_h160_pad0.080_s7777
700.0,160.0,0.12,333,0.17337256889586491,0.17337151729618827,0.16330105950996243,"[0.16330105950996243, 0.1943545023028589, 0.1667827178652782]",0.6962723865056226,0.22079698482779925,140.4314088821411,P700_h160_pad0.120_s333
700.0,160.0,0.12,1001,0.17344646461728866,0.17344551206427442,0.1633945001699466,"[0.1633945001699466, 0.19455367771944876, 0.16675505886192576]",0.6977301124531445,0.17702713401674433,139.79338550567627,P700_h160_pad0.120_s1001
700.0,160.0,0.12,7777,0.17328224957089752,0.1732793209388608,0.16315587938668463,"[0.16315587938668463, 0.19423114798438668, 0.16677181670743835]",0.6959600166597251,0.19873929405579396,138.27485942840576,P700_h160_pad0.120_s7777
700.0,200.0,0.04,333,0.18682828752765093,0.18682215202226105,0.17709526203503823,"[0.17738536297182428, 0.2118978701531753, 0.17709526203503823]",0.5319592071243895,0.2783779125297482,137.8395233154297,P700_h200_pad0.040_s333
700.0,200.0,0.04,1001,0.1869310007316153,0.18692962558541137,0.17622845653795016,"[0.17804729614310222, 0.21273714094478502, 0.17622845653795016]",0.5311692042516518,0.19733212498229233,140.57947778701782,P700_h200_pad0.040_s1001
700.0,200.0,0.04,7777,0.18604101108905016,0.18604138995198688,0.17479758119290056,"[0.17479758119290056, 0.20925562684923504, 0.17928140539786008]",0.5479029014650962,0.18389759327738014,140.71514534950256,P700_h200_pad0.040_s7777
700.0,200.0,0.08,333,0.18700396560388186,0.18700448746129927,0.17691655516688476,"[0.17691655516688476, 0.21135358495007972, 0.17834278613074817]",0.6154835390946503,0.23307748694052868,141.72503352165222,P700_h200_pad0.080_s333
700.0,200.0,0.08,1001,0.18720399830073675,0.1871964660133125,0.17735568838864557,"[0.17735568838864557, 0.21190783248539025, 0.17809058151693724]",0.6129972565157751,0.16386929807974052,135.58035469055176,P700_h200_pad0.080_s1001
700.0,200.0,0.08,7777,0.18657982784710525,0.1865796669508723,0.1760150029622709,"[0.1760150029622709, 0.21048839448222778, 0.17867613158377993]",0.6223422496570644,0.18852608754953176,135.5552535057068,P700_h200_pad0.080_s7777
700.0,200.0,0.12,333,0.18691550870745408,0.1869133624626572,0.1760282710238511,"[0.1760282710238511, 0.21000875639133698, 0.1798510823452727]",0.6845064556434819,0.21075436386043928,135.9566285610199,P700_h200_pad0.120_s333
700.0,200.0,0.12,1001,0.18693958386553886,0.1869373036502314,0.17608355812491838,"[0.17608355812491838, 0.21010879913051983, 0.17979489796831083]",0.6880466472303207,0.1650445680508731,137.06582951545715,P700_h200_pad0.120_s1001
700.0,200.0,0.12,7777,0.18690241105141192,0.18689814979819055,0.17601725606321583,"[0.17601725606321583, 0.2100168060630958, 0.17982263914975027]",0.6900249895876718,0.19883469175710905,141.99902296066284,P700_h200_pad0.120_s7777
775.0,120.0,0.04,333,0.19227641345180763,0.19227964637191713,0.1543031564113898,"[0.1543031564113898, 0.20023318507965526, 0.269192007977082]",0.6546969261706406,0.21969702701004248,140.39584851264954,P775_h120_pad0.040_s333
775.0,120.0,0.04,1001,0.19228579956260736,0.19228217840086134,0.15426080534978803,"[0.15426080534978803, 0.20017732431563906, 0.26971474544246254]",0.6556305659293307,0.16548491102903903,139.07685112953186,P775_h120_pad0.040_s1001
775.0,120.0,0.04,7777,0.19226428322940295,0.1922621431060207,0.154141052556799,"[0.154141052556799, 0.19995954869102817, 0.2709021150552361]",0.6544814708417122,0.18083289991980173,136.8018171787262,P775_h120_pad0.040_s7777
