label,lam_nm,F,Faf,T,co,Rtot,A,Rcross
mut1_615,620.0,0.5430741310119629,0.5430741310119629,0.006886286661028862,0.00804053246974945,0.5511146783828735,0.44199904799461365,0.5430741310119629
mut1_615,621.0,0.5493131875991821,0.5493132472038269,0.006256843917071819,0.008162006735801697,0.5574752688407898,0.4362678825855255,0.5493131875991821
mut1_615,622.0,0.5553436279296875,0.5553436279296875,0.005831197835505009,0.00830288976430893,0.5636465549468994,0.43052223324775696,0.5553436279296875
mut1_615,623.0,0.5612708926200867,0.5612708926200867,0.005598783027380705,0.00834929384291172,0.5696201324462891,0.42478108406066895,0.5612708926200867
mut1_615,624.0,0.5670201778411865,0.5670201778411865,0.0055244299583137035,0.008389255963265896,0.5754094123840332,0.4190661609172821,0.5670201778411865
mut1_615,625.0,0.5726189613342285,0.5726189613342285,0.005579487420618534,0.008366400375962257,0.5809853672981262,0.4134351313114166,0.5726189017295837
mut1_615,626.0,0.5781304836273193,0.5781304836273193,0.005779259838163853,0.008177452720701694,0.5863080024719238,0.4079127311706543,0.5781305432319641
mut1_615,627.0,0.5835596919059753,0.5835596919059753,0.006027986295521259,0.007969111204147339,0.5915288329124451,0.40244317054748535,0.5835596323013306
mut1_615,628.0,0.5890369415283203,0.5890369415283203,0.006367796566337347,0.007721174508333206,0.5967581272125244,0.3968740701675415,0.5890369415283203
mut1_615,629.0,0.594386637210846,0.594386637210846,0.006779789924621582,0.007317972835153341,0.6017045974731445,0.3915156126022339,0.5943866968154907
mut1_615,630.0,0.5994642376899719,0.5994642376899719,0.007201665081083775,0.006816159933805466,0.6062804460525513,0.38651788234710693,0.5994642376899719
mut1_615,630.5,0.6019814014434814,0.6019814014434814,0.007360413204878569,0.006544234696775675,0.6085256338119507,0.38411396741867065,0.6019814014434814
mut1_615,631.0,0.6046223640441895,0.6046223640441895,0.007625112775713205,0.006308102048933506,0.6109303832054138,0.38144451379776,0.6046223640441895
mut1_615,631.5,0.6072327494621277,0.6072328090667725,0.007826577872037888,0.006005092523992062,0.6132378578186035,0.3789355754852295,0.6072328090667725
mut1_615,632.0,0.6097514629364014,0.6097515821456909,0.008012713864445686,0.005712117068469524,0.6154636740684509,0.37652361392974854,0.6097515225410461
mut1_615,632.5,0.6122996807098389,0.6122997403144836,0.00820948276668787,0.005389018915593624,0.6176888942718506,0.3741016089916229,0.6122996807098389
mut1_615,633.0,0.6148555278778076,0.6148555278778076,0.008373677730560303,0.005110917147248983,0.6199665665626526,0.3716597557067871,0.6148555278778076
mut1_615,633.5,0.6172977685928345,0.6172976493835449,0.008570133708417416,0.004763021133840084,0.6220607757568359,0.3693690896034241,0.6172976493835449
mut1_615,634.0,0.6198241114616394,0.6198241114616394,0.00875927321612835,0.004505506716668606,0.624329686164856,0.36691105365753174,0.6198240518569946
mut1_615,634.5,0.6221372485160828,0.622137188911438,0.00893217884004116,0.0041825128719210625,0.6263197660446167,0.3647480607032776,0.622137188911438
mut1_615,635.0,0.6246960163116455,0.6246960163116455,0.009084198623895645,0.0038652238436043262,0.62856125831604,0.3623545467853546,0.6246960163116455
mut1_615,635.5,0.6271381378173828,0.6271381378173828,0.009179901331663132,0.0036121380981057882,0.630750298500061,0.36006981134414673,0.6271381378173828
mut1_615,636.0,0.6296098828315735,0.6296098828315735,0.009289917536079884,0.0033417106606066227,0.632951557636261,0.3577585220336914,0.6296098828315735
mut1_615,637.0,0.6342285871505737,0.6342285871505737,0.00949083361774683,0.002904732245951891,0.6371333599090576,0.35337579250335693,0.6342285871505737
mut1_615,638.0,0.6389825940132141,0.6389825940132141,0.009570620022714138,0.002596234204247594,0.6415788531303406,0.3488505184650421,0.6389826536178589
mut1_615,639.0,0.6434772610664368,0.6434772610664368,0.0096302954480052,0.0024554438423365355,0.6459327340126038,0.34443697333335876,0.643477201461792
mut1_615,640.0,0.6478235721588135,0.6478235721588135,0.009564721025526524,0.002532768528908491,0.6503563523292542,0.3400789201259613,0.6478236317634583
mut1_615,641.0,0.6521576046943665,0.6521576046943665,0.009455833584070206,0.0028617000207304955,0.6550194025039673,0.3355247676372528,0.6521576642990112
mut1_615,642.0,0.6560764312744141,0.6560764312744141,0.009292458184063435,0.003512362251058221,0.6595888733863831,0.3311186730861664,0.6560764312744141
mut1_615,643.0,0.6598084568977356,0.6598083972930908,0.008991999551653862,0.004561332985758781,0.6643697023391724,0.3266383111476898,0.6598083972930908
mut1_615,644.0,0.6633743643760681,0.6633743047714233,0.008713789284229279,0.005949248559772968,0.6693236827850342,0.32196253538131714,0.6633743047714233
mut1_615,645.0,0.6665171384811401,0.6665170192718506,0.008316201157867908,0.007827631197869778,0.6743447780609131,0.3173390328884125,0.6665170788764954
