lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol
1320.5,1.621568764263798e-30,1.5652983980158206e-30,-4.610161151425675e-25,5.979875753101279e-25,2.8158507351603363e-38,-9.791173769859845e-38,-1.8290413068569928e-31,4.6685296783272386e-32,1.376448274903673e-23,-1.1080754142380656e-24,1.0976509478671051e-38,5.304712727369569e-38,-5.051953270752339e-34,-3.310379134529913e-33,-4.054399900682336e-22,5.872087064299598e-22,-8.441433723452299e-40,5.975255607838945e-41,1.7743424456996694e-12,1.9659553138197186e-12,1.0738195641843497e-12,2.977882752216916e-14,4.843896151225907e-12,1.045646978311679e-13,2.1266228285250404e-12,6.741474628448486,7.702335834503174,6.471592426300049,7.416533470153809
1321.0,1.6446514175736037e-30,1.559052080147345e-30,-4.588125970715838e-25,6.649417142288725e-25,3.315766013110302e-38,-1.0935962328911798e-37,-2.079465097337623e-31,9.267656885433571e-32,1.3703645640622258e-23,-1.2545602807870859e-24,2.416855796468046e-38,5.93508499039395e-38,-3.408423809418016e-34,-3.122314486367688e-33,-4.0951404153968884e-22,6.210525627953028e-22,-8.39585060893528e-40,1.6997914487862265e-43,1.7966198586755888e-12,2.13335321895126e-12,1.1799408732994512e-12,3.5462958293414465e-14,5.145376909219714e-12,1.3450565651267845e-13,2.1806443499620292e-12,7.218695163726807,8.393843650817871,6.929612636566162,8.08442211151123
1321.5,1.671843864561855e-30,1.5520594369045128e-30,-4.2800334525990195e-25,7.212847455321027e-25,3.859821097092043e-38,-1.2278599754320895e-37,-2.090023719045789e-31,1.629242506003228e-31,1.3601207154568486e-23,-1.3373649805427453e-24,4.3668997751601536e-38,5.861361846774156e-38,-7.749393212692121e-35,-2.9291770773775115e-33,-4.1120990362247506e-22,6.568033086388492e-22,-8.555209950085104e-40,-6.278701501721191e-41,1.8239276353120254e-12,2.3112554788626538e-12,1.3298480043267947e-12,4.285164791102193e-14,5.5078827664124966e-12,1.7128132770520643e-13,2.2444083286429353e-12,7.785457611083984,9.188128471374512,7.473171234130859,8.850679397583008
1322.0,1.697859510590061e-30,1.5449934793794088e-30,-3.5639990322240353e-25,7.8121902898249445e-25,4.3288051575657747e-38,-1.3589411250174078e-37,-1.7613983435035772e-31,2.3686305916437396e-31,1.3487529498257663e-23,-1.346965590727606e-24,6.364921872484642e-38,4.84328589375949e-38,2.3693494465408708e-34,-2.7895299527309147e-33,-4.116830008972949e-22,6.891214852207443e-22,-8.837828372260183e-40,-1.074455322329602e-40,1.84972042464323e-12,2.4763622262366227e-12,1.4938424939601243e-12,5.0670413793504836e-14,5.870595558633482e-12,2.0856151727509326e-13,2.3043969960769607e-12,8.346841812133789,9.952187538146973,8.011321067810059,9.587214469909668
1322.5,1.7318517712367824e-30,1.5347146298701172e-30,-2.7326105432843674e-25,7.8318009824633445e-25,4.88480787933169e-38,-1.5251646031202456e-37,-1.0688834247325538e-31,2.7473621015673212e-31,1.342234881407264e-23,-1.4008178589532552e-24,7.307301784911805e-38,2.8752545750353395e-38,6.01180705073426e-34,-2.5914330275818725e-33,-4.1727074677265506e-22,7.267304225023986e-22,-8.601657019492641e-40,-1.3607815456719666e-40,1.876128262793704e-12,2.69465255843484e-12,1.7109923155784026e-12,6.017054207506612e-14,6.341943678882013e-12,2.475894716581889e-13,2.367901166496519e-12,9.068354606628418,10.798174858093262,8.703758239746094,10.40260124206543
1323.0,1.7659480971020722e-30,1.5222934999558739e-30,-1.8601162983535943e-25,7.554454109239518e-25,5.365684884153739e-38,-1.6945591997895203e-37,-2.846940635352527e-32,2.7814503222376494e-31,1.3388419507243627e-23,-1.4626912755278159e-24,7.280694448361534e-38,7.057661081197888e-39,1.027737058896271e-33,-2.4355458874939897e-33,-4.245860376330194e-22,7.644420096479074e-22,-8.124648984101807e-40,-1.745764534039188e-40,1.8982731202336948e-12,2.9295657713402682e-12,1.934427204321202e-12,6.994897027818461e-14,6.832215066173349e-12,2.868703606610271e-13,2.4249072320507725e-12,9.818344116210938,11.63486385345459,9.423871040344238,11.209244728088379
1323.5,1.8031158360831174e-30,1.5063365676624472e-30,-1.9745610229260086e-25,7.313521953576449e-25,5.824555957928644e-38,-1.8847090548293012e-37,2.2606216379047946e-32,2.498511369870199e-31,1.3382917888926178e-23,-1.5645175635519153e-24,6.407616056692361e-38,-6.519687994597463e-39,1.4693613024061998e-33,-2.2589562180656307e-33,-4.316540883014491e-22,8.099241530274654e-22,-7.334726466045123e-40,-2.4114142483586434e-40,1.919154262733225e-12,3.2221490508710477e-12,2.1778957562411373e-12,8.096833935502225e-14,7.400167409200432e-12,3.336092243241238e-13,2.483940601164696e-12,10.689812660217285,12.60561752319336,10.261225700378418,12.146217346191406
1324.0,1.8402390162105286e-30,1.4868635220357888e-30,-1.379644516053718e-25,6.77926601212917e-25,6.199353396614601e-38,-2.0859996331527966e-37,5.538095689549176e-32,2.2236146446647716e-31,1.3349144541355905e-23,-1.66717838268688e-24,5.601745487070217e-38,-1.5056456512552619e-38,1.8431291435813436e-33,-2.1660199187668622e-33,-4.385871101391247e-22,8.615970653467077e-22,-6.780240685773684e-40,-3.1485485554906884e-40,1.939095255537042e-12,3.570161636818307e-12,2.4210953919049173e-12,9.33420255250909e-14,8.023694309785358e-12,3.9205962160494914e-13,2.545801541913388e-12,11.64770793914795,13.725691795349121,11.181928634643555,13.228414535522461
1324.5,1.8849682411874088e-30,1.4599750203099659e-30,-1.1108690083550711e-25,6.30919492504606e-25,6.521168772595063e-38,-2.338326320948828e-37,7.490152132953578e-32,1.8794938929691788e-31,1.3305518340757333e-23,-1.8102049751069483e-24,4.6283746150956187e-38,-1.975033835047736e-38,2.35668831875241e-33,-2.088472259986578e-33,-4.431548081928804e-22,9.273969115674625e-22,-6.246812312263257e-40,-4.3827973352337274e-40,1.962150583673084e-12,4.0289823801487205e-12,2.7337683606289266e-12,1.0983234059535712e-13,8.834733665046088e-12,4.740054817067088e-13,2.621872452899977e-12,12.890374183654785,15.201398849487305,12.376480102539062,14.654757499694824
1325.0,1.9306084091470256e-30,1.4283212103274356e-30,-8.431952283866668e-26,5.976446710489881e-25,6.705371707793642e-38,-2.6126431613112442e-37,7.739562647184851e-32,1.6858630785740464e-31,1.3213022537968207e-23,-1.9717748678685132e-24,4.0925309644667504e-38,-1.9872441018926566e-38,2.896659555065844e-33,-2.0019748985291733e-33,-4.416159473239055e-22,1.0002914630991473e-21,-5.745451393260447e-40,-5.8354782649440455e-40,1.9852636674289823e-12,4.552706091172904e-12,3.087187140077597e-12,1.2928040171343702e-13,9.75443730039292e-12,5.757529873469121e-13,2.703899168977671e-12,14.2978515625,16.919578552246094,13.729353904724121,16.315807342529297
