tag,method,P,H,seed,iters,n_grid,order_opt,order_final,stage,padding_nm,design_radius_nm,runtime_s,sha256_rho,R_cross,R_co,R_cross_21,R_co_22,T_cross,T_co,abs_rx,abs_ry,abs_rxy,abs_ryx,dphi_r_deg,pb_phase_err_deg,R_total_x,R_total_y,T_total_x,T_total_y,A_x,A_y,rxx_re,rxx_im,rxy_re,rxy_im,ryx_re,ryx_im,ryy_re,ryy_im,txx_re,txx_im,tyy_re,tyy_im,f_ED_x,f_MD_x,f_EQ_x,f_MQ_x,px_in_ED_x,py_in_ED_x,mx_in_MD_x,my_in_MD_x,f_ED_y,f_MD_y,f_EQ_y,f_MQ_y,px_in_ED_y,py_in_ED_y,mx_in_MD_y,my_in_MD_y,n_components,n_air_components,min_si_linewidth_nm,min_air_gap_nm,radial_extent_nm,edge_clearance_nm,fill
B_P190_H110_s11_g80_o7,B,190.0,110.0,11,150,80,7,9,coarse,20.0,75.0,215.0004961490631,42bdc97a1cb17214d6717470d480292dc65dd9967b349d7d5e0864f3b62487b9,0.01732858084142208,0.008966556750237942,0.01733541116118431,0.009030772373080254,0.058902159333229065,0.8970345258712769,0.20810800790786743,0.09670660644769669,0.00046205020043998957,2.555813262006268e-05,-114.4607925415039,65.5392074584961,0.04330894351005554,0.009352381341159344,0.9233998656272888,0.9874184727668762,0.03329116106033325,0.0032291412353515625,-0.207403302192688,-0.01711186394095421,0.0004527592973317951,-9.219225466949865e-05,-2.487558413122315e-05,5.867151230631862e-06,0.04714582860469818,-0.08443599939346313,-0.17708264291286469,0.9444795250892639,0.3083151876926422,0.944648027420044,0.9532146898472152,0.043432433599396476,0.003291747613862024,6.11289395262531e-05,0.9999394482458395,2.9985647685757665e-06,3.0237984198741864e-07,0.9988087932504329,0.9461807867571765,0.04125914290655076,0.0121829396698465,0.00037713066642614906,2.4963990464192598e-05,0.9955580858563303,0.9999581049418342,2.1154669515879773e-05,1,1,35.625,2.375,74.82192400961098,0.17807599038901856,0.1325
B_P190_H140_s11_g80_o7,B,190.0,140.0,11,150,80,7,9,coarse,20.0,75.0,227.1103754043579,135eeb7166da5d3eb8736124a3de816a13680471b7f985fa1ea8fbdfc6ba55bb,0.10360854864120483,0.2051447033882141,0.10359158366918564,0.20519283413887024,0.18537606298923492,0.35599285364151,0.31630465388298035,0.7193671464920044,3.3864831493701786e-05,0.00011698187881847844,-63.488407135009766,116.5115966796875,0.10004864633083344,0.5174890756607056,0.7973362803459167,0.2855100929737091,0.10261505842208862,0.19700083136558533,0.05422709882259369,0.31162166595458984,4.372137482278049e-06,3.35814111167565e-05,0.00011352699220879003,-2.822022906912025e-05,-0.5791398882865906,0.4267154633998871,-0.6981530785560608,0.5567032694816589,-0.460521936416626,-0.27097904682159424,0.5042918876560999,0.48064459593322145,0.014761592825120575,0.00030192358555795407,0.9860472540795724,1.4115572024749263e-05,8.084403960362916e-08,0.9999970669650113,0.4742076958010131,0.5234830280357684,0.0021405084539108154,0.0001687677093075918,5.970697657455585e-06,0.9978836050762777,0.9999577052635193,8.564682909227215e-09,1,1,83.125,2.375,74.89727339830202,0.10272660169798087,0.3325
B_P190_H170_s11_g80_o7,B,190.0,170.0,11,150,80,7,9,coarse,20.0,75.0,235.1290225982666,a18eb62863f0705b86e03aaec5270fe3283676b039b3f65d3fd8ab47626c5b22,0.14398193359375,0.24005015194416046,0.14407458901405334,0.2402525544166565,0.22831951081752777,0.2428942769765854,0.370979905128479,0.7941871285438538,0.0001293081877520308,0.00012251563020981848,-70.95850372314453,109.04149627685547,0.13762611150741577,0.6307331919670105,0.7621679306030273,0.1803985983133316,0.10020595788955688,0.1888682097196579,-0.07809001952409744,0.3626679480075836,-5.498133759829216e-06,-0.00012919124856125563,0.0001157035439973697,4.0283630369231105e-05,-0.7884516716003418,0.0952741950750351,-0.8393509984016418,0.24012035131454468,-0.1330203413963318,-0.4033660590648651,0.5144514342733651,0.4644659827436317,0.020257387736027376,0.0008251952469757831,0.9916474289685546,1.4975199145918883e-05,5.35883031963838e-08,0.9999982390296202,0.4450646776819176,0.5519875062039296,0.0011588664202366488,0.0017889496939163198,9.7770090717659e-06,0.9977305217828687,0.9999294818589378,1.7900255099417763e-08,1,1,78.375,2.375,74.82192400961098,0.17807599038901856,0.315625
B_P190_H200_s11_g80_o7,B,190.0,200.0,11,150,80,7,9,coarse,20.0,75.0,242.708749294281,7926000b4356a9e7debbd95c4b1e603441cba92fbe56710317245541730b0bd1,0.11539749801158905,0.17289896309375763,0.11533959209918976,0.17285026609897614,0.36028310656547546,0.19700373709201813,0.30582597851753235,0.6949509382247925,3.1996823963709176e-05,0.00023352490097749978,285.6983947753906,105.69839477539062,0.0935295820236206,0.48295679688453674,0.831668496131897,0.2829238176345825,0.07480192184448242,0.23411941528320312,-0.1569310575723648,0.26249223947525024,-1.5552965123788454e-05,-2.7962511012447067e-05,-0.00022386093041859567,-6.648432463407516e-05,-0.6707194447517395,-0.1819126158952713,-0.9110939502716064,0.03970172256231308,0.15691328048706055,-0.5082342624664307,0.4804358182444077,0.47345372101680705,0.0424939761080957,0.003616484630689556,0.987408422215385,2.6260386804842353e-05,1.060653169491407e-06,0.9999948931337233,0.4055359883900868,0.5847445645650684,0.0009751000888805321,0.008744346955964197,4.832385837879409e-06,0.9981396677120814,0.9999521271997988,7.677065630630853e-08,1,1,78.375,2.375,74.82192400961098,0.17807599038901856,0.290625
A_P190_H110_s11_g80_o7,A,190.0,110.0,11,120,80,7,9,coarse,20.0,75.0,722.4167268276215,21b3c66cbbf28335630a20b86958042bf7c47972068c0682e8db90dd268961ba,0.0067108627408742905,0.26813724637031555,0.006595308892428875,0.2668779790401459,0.012068504467606544,0.5142427086830139,0.5459458827972412,0.5002632737159729,0.0002901543921325356,0.0010403294581919909,17.23410415649414,162.76589965820312,0.2980579733848572,0.25026342272758484,0.4989827275276184,0.55292809009552,0.20295929908752441,0.19680845737457275,-0.25694990158081055,0.4816987216472626,0.0002897020895034075,-1.6195015632547438e-05,-0.0007503108354285359,-0.0007206379668787122,-0.09410402923822403,0.49133265018463135,-0.703601598739624,0.06266241520643234,-0.6877604126930237,0.28269001841545105,0.532868922378058,0.46506282944825594,0.002015983316273935,5.226485741214112e-05,0.9975901140837291,2.3383439555082046e-05,3.8971035177525936e-07,0.9999637594467577,0.4906723724269011,0.5062506512540053,0.002994214501150002,8.276181794379779e-05,1.4583883666292138e-05,0.9942100257865002,0.9999829264752836,9.33659632279292e-08,1,1,121.125,2.375,74.97254705890684,0.02745294109315921,0.443125
A_P190_H140_s11_g80_o7,A,190.0,140.0,11,120,80,7,9,coarse,20.0,75.0,749.5886850357056,a18eb62863f0705b86e03aaec5270fe3283676b039b3f65d3fd8ab47626c5b22,0.09574827551841736,0.16057874262332916,0.09585990756750107,0.16071030497550964,0.21886003017425537,0.3877377510070801,0.24200350046157837,0.6740411520004272,0.00015236411127261817,8.997479017125443e-05,-66.57797241210938,113.42202758789062,0.05856570228934288,0.45433151721954346,0.8645846843719482,0.3488720655441284,0.07684963941574097,0.19679641723632812,0.07151971757411957,0.2311939150094986,-8.046627044677734e-05,-0.00012938315921928734,6.890355871291831e-05,-5.7859851949615404e-05,-0.5116924047470093,0.4387509226799011,-0.6328085064888,0.6812767386436462,-0.535535454750061,-0.24914613366127014,0.6209556282054888,0.365197629990881,0.01364367027002555,0.00020307153360464813,0.9935450961027407,1.353102023505264e-05,1.2328099926969362e-07,0.9999984520550996,0.4816576072008533,0.5150998462031984,0.003109508654361319,0.00013303794158696207,9.813756784545225e-06,0.9980256102344858,0.9999307484946216,1.3852454365365061e-08,1,1,78.375,2.375,74.82192400961098,0.17807599038901856,0.315625
A_P190_H170_s11_g80_o7,A,190.0,170.0,11,120,80,7,9,coarse,20.0,75.0,775.5130562782288,88c88ced618b905ea7da49d969c799f63924db00f372823794a4720c71401cb3,0.1313449889421463,0.19342368841171265,0.13161586225032806,0.1938203126192093,0.2795500159263611,0.26677587628364563,0.2667222321033478,0.7609614133834839,5.859685188625008e-05,0.0014008446596562862,-72.17153930664062,107.82846069335938,0.07114271074533463,0.579062283039093,0.8639743328094482,0.2291523665189743,0.06488293409347534,0.19178535044193268,-0.019071873277425766,0.26603949069976807,-3.6517980333883315e-05,4.582606561598368e-05,0.0013759302673861384,-0.0002630240051075816,-0.739223062992096,0.1805865317583084,-0.8123080730438232,0.4518040418624878,-0.21978990733623505,-0.42525845766067505,0.5378048647595542,0.429968394599393,0.031356720474576466,0.0008700201664760322,0.9866549983012947,6.725020837318204e-06,4.3290935510765e-06,0.9999920697154463,0.44237508446059104,0.5539872825615862,0.0024272930380400326,0.0012103399397827813,5.997761625066903e-06,0.9978805904629122,0.9999648977245834,3.347572400112117e-08,1,1,73.625,2.375,74.82192400961098,0.17807599038901856,0.291875
B_P190_H230_s11_g80_o7,B,190.0,230.0,11,150,80,7,9,coarse,20.0,75.0,301.64950585365295,9228d0d8ef32d19eed3f2760e7ddd3e3eb21de3a656df4906c02f90374a32c67,0.05180387943983078,0.11905072629451752,0.051676101982593536,0.11919932067394257,0.46456268429756165,0.23689374327659607,0.5456589460372925,0.2097291350364685,0.0003057966532651335,1.870766209322028e-05,-306.0733947753906,126.07342529296875,0.29774367809295654,0.043986402451992035,0.47783640027046204,0.925667941570282,0.22441992163658142,0.030345678329467773,-0.5341023802757263,-0.11170652508735657,0.00022579739743378013,-0.00020622106967493892,-7.328526407945901e-07,1.8693302990868688e-05,-0.15558063983917236,0.1406448483467102,0.17100511491298676,-0.6697713732719421,-0.957403302192688,0.09511350840330124,0.37321017268387424,0.6084662757922826,0.006858035916169507,0.011465515607673617,0.9987949189131395,6.4899355708605765e-06,6.232378192383334e-07,0.9999735610216212,0.5170474544190287,0.39247759368156676,0.08491042602368104,0.005564525875723485,8.285076254003834e-05,0.9897869237752049,0.9999933040618869,3.1114000612232606e-06,1,1,64.125,2.375,74.06421411518521,0.9357858848147913,0.22875
B_P190_H260_s11_g80_o7,B,190.0,260.0,11,150,80,7,9,coarse,20.0,75.0,352.1342227458954,79f1a36caadbd266b4f91a46d77e3593394f17d8ac9e37a15fdc169a973b817a,0.01759336329996586,0.09414259344339371,0.017544159665703773,0.09425830096006393,0.5644599795341492,0.04099622741341591,0.4394013583660126,0.17454169690608978,0.00020439372747205198,9.283335202781018e-06,-2.307333469390869,177.69265747070312,0.1930735558271408,0.030464844778180122,0.49544188380241394,0.7147543430328369,0.31148454546928406,0.2547808289527893,-0.43309763073921204,0.07416198402643204,-0.00011430351878516376,-0.00016944468370638788,-8.110919225146063e-06,4.515894943324383e-06,-0.17308422923088074,0.02250901237130165,0.27801164984703064,0.64664626121521,0.07577311247587204,-0.8420286178588867,0.019822890551132493,0.8639608148123217,0.01894231552692545,0.09727397910962032,0.8824222733447292,5.119339147205143e-05,7.844310323769543e-09,0.999999267025599,0.29332273106968104,0.6268035226152018,0.023100467051674758,0.056773279263442576,9.97821881197217e-06,0.9751851530693998,0.9999903589158229,1.3692809039060756e-06,1,1,83.125,2.375,74.36822448129308,0.6317755187069167,0.326875
A_P190_H200_s11_g80_o7,A,190.0,200.0,11,120,80,7,9,coarse,20.0,75.0,806.3495409488678,8425e041acdfa33156212becf98994f2eb65e791b714031813d198c10ecbccc5,0.1002369150519371,0.15647883713245392,0.09981372952461243,0.15690366923809052,0.38993120193481445,0.22790154814720154,0.22352862358093262,0.6807846426963806,5.222564868745394e-05,0.0006524315685965121,291.8620910644531,111.86209106445312,0.049965471029281616,0.46346771717071533,0.9099606275558472,0.32702407240867615,0.04007387161254883,0.20950821042060852,-0.09127843379974365,0.20404237508773804,3.605846723075956e-05,3.777969322982244e-05,-0.00015799130778759718,0.0006330132018774748,-0.6802647709846497,-0.026600126177072525,-0.8985692858695984,0.3202067017555237,-0.02369886077940464,-0.571368932723999,0.5705424813405187,0.3738238181173262,0.053762041899767916,0.0018716586423871999,0.9920882841984277,5.1491122295501626e-05,6.395648214169167e-06,0.9999930645882582,0.41362649405552493,0.5776059405349243,0.0037613239739875868,0.00500624143556327,8.405559274555476e-06,0.998262579414689,0.9999550850907407,1.7704747468405267e-07,1,1,68.875,2.375,74.82192400961098,0.17807599038901856,0.25625
